52.25        34.2259          2.731
52.5        34.3615        2.73047
52.75        34.5118        2.73477
53        34.6656        2.73393
53.25        34.8196        2.73573
53.5         34.963        2.73737
53.75        35.1065        2.73541
54        35.2564         2.7366
54.25        35.4086        2.73839
54.5        35.5691        2.73726
54.75        35.7288        2.73864
55        35.8847        2.73873
55.25        36.0579        2.74233
55.5        36.2041        2.74487
55.75        36.3675        2.74649
56        36.5325         2.7479
56.25        36.6737        2.74722
56.5        36.8459        2.75071
56.75        37.0075        2.75012
57        37.2084        2.74749
57.25        37.3811        2.74768
57.5        37.5475        2.74551
57.75        37.7216        2.74507
58        37.8705         2.7458
58.25        38.0465        2.74907
58.5        38.2111         2.7479
58.75        38.3821         2.7451
59        38.5171        2.74754
59.25        38.6903        2.74834
59.5        38.8385        2.74936
59.75        38.9844        2.75269
60        39.1112        2.75163
60.25        39.2695        2.75254
60.5        39.4204        2.75508
60.75        39.5618        2.75395
61        39.7359         2.7535
61.25        39.8919        2.75581
61.5        40.0564        2.75604
61.75        40.2179        2.75612
62        40.3687        2.75947
62.25        40.5294        2.75981
62.5        40.6665        2.76006
62.75          40.82        2.76229
63        40.9896         2.7616
63.25        41.2114        2.76086
63.5        41.3859        2.76203
63.75        41.5589        2.75833
64        41.7356        2.75816
64.25        41.8855        2.75945
64.5        42.0559        2.76101
64.75        42.2166        2.76054
65        42.3861        2.75813
65.25        42.5095        2.75975
65.5        42.6852        2.75972
65.75        42.8385        2.76085
66        42.9825        2.76427
66.25         43.088        2.76297
66.5        43.2514        2.76364
66.75        43.4183        2.76543
67        43.5567        2.76339
67.25        43.7143        2.76409
67.5        43.8691        2.76498
67.75        44.0552        2.76396
68        44.2002        2.76322
68.25        44.3476        2.76638
68.5        44.5127         2.7674
68.75        44.6498        2.76639
69        44.8197        2.76778
69.25        44.9889        2.76675
69.5        45.1956        2.76459
69.75        45.3976        2.76542
70         45.568        2.76422
70.25         45.759        2.76494
70.5        45.8889        2.76677
70.75        46.0734        2.76811
71        46.2349        2.76904
71.25        46.4019        2.76647
71.5        46.5247        2.76753
71.75        46.6994        2.76738
72        46.8481        2.76692
72.25        46.9767        2.76958
72.5        47.0781        2.76761
72.75        47.2456        2.76995
73        47.4122        2.77203
73.25        47.5539        2.76648
73.5        47.7134        2.76646
73.75        47.8677        2.76923
74        48.0526        2.76799
74.25         48.197         2.7685
74.5        48.3567        2.77054
74.75        48.5207        2.77065
75        48.6424        2.76877
75.25        48.8126         2.7707
75.5        48.9788        2.77123
75.75        49.1818        2.77056
76        49.3655        2.77232
76.25        49.5377        2.77047
76.5        49.7457        2.77331
76.75         49.859        2.77471
77         50.061        2.77609
77.25        50.2241        2.77794
77.5        50.3684        2.77654
77.75        50.4825        2.77703
78        50.6628        2.77762
78.25        50.8443        2.77722
78.5        50.9668        2.78037
78.75        51.0834        2.77734
79        51.2374        2.77887
79.25        51.4026        2.78034
79.5        51.5491        2.77659
79.75        51.7411        2.77769
80        51.8752        2.77949
80.25        52.0567        2.78015
80.5        52.1943        2.77965
80.75         52.357        2.78037
81        52.5232        2.78354
81.25        52.6414        2.78131
81.5        52.8089        2.78228
81.75        52.9731          2.782
82         53.181        2.78139
82.25        53.3645        2.78253
82.5        53.5278        2.78152
82.75        53.7286        2.78339
83        53.8336        2.78409
83.25        54.0348        2.78437
83.5        54.2037        2.78689
83.75        54.3533        2.78499
84        54.4719         2.7867
84.25         54.657        2.78775
84.5        54.8199        2.78653
84.75        54.9577        2.78713
85        55.0604        2.78594
85.25        55.2424        2.78448
85.5        55.3852        2.78884
85.75        55.5358        2.78547
86        55.7254        2.78718
86.25        55.8442        2.78724
86.5        56.0301        2.78929
86.75        56.1952        2.78796
87        56.2847        2.79015
87.25        56.4996        2.79133
87.5        56.6527        2.79069
87.75        56.8199        2.79098
88        56.9853        2.79095
88.25        57.2165        2.79005
88.5        57.4386        2.79112
88.75        57.5766        2.78935
89        57.7725        2.79131
89.25        57.8291        2.79159
89.5        58.0462        2.79089
89.75         58.214        2.79191
90        58.3622        2.79171
90.25        58.4998        2.79083
90.5        58.6977        2.79355
90.75        58.8217        2.79284
91        59.0118        2.79294
91.25        59.1434        2.79226
91.5        59.2571        2.79509
91.75        59.4491        2.79413
92         59.615        2.79272
92.25        59.8113        2.79497
92.5        59.9545        2.79474
92.75        60.1164        2.79549
93        60.2582        2.79366
93.25         60.413        2.79441
93.5        60.5869        2.79669
93.75        60.7229        2.79447
94        60.9052        2.79627
94.25        61.1424        2.79446
94.5        61.2756        2.79356
94.75         61.456        2.79677
95        61.6556        2.79282
95.25        61.8047        2.79615
95.5        61.9271        2.79611
95.75        62.1237        2.79562
96        62.3065        2.79585
96.25        62.4822        2.79843
96.5        62.6138        2.79671
96.75        62.7754        2.79951
97        62.9405        2.80019
97.25        63.0902        2.79932
97.5        63.2698        2.80118
97.75        63.3947        2.80223
98        63.5272        2.80112
98.25         63.749        2.80116
98.5        63.9108        2.80381
98.75        64.1256        2.80341
99        64.2951        2.80404
99.25        64.3467        2.80243
99.5        64.5728        2.80153
99.75         64.635        2.80447
