        0       38     4490    41732    96904   124786   129770   102328    70119    51503    46568    47857    52794    58522    64232    68571    73168    75962    47426      564
        0       34     4570    44762   103420   130439   131703   102404    69166    50801    45433    47248    52288    58408    63927    69166    72825    75854    47378      565
        0       49     5038    47558   109593   135881   132650   100900    67658    49614    44573    46658    52086    57646    63342    68235    72332    75826    47349      448
        0       36     5473    51109   116151   140950   133808   100170    66730    48768    43895    45414    50916    57168    63134    68651    72859    75551    47170      407
        0       47     5865    54858   123472   145103   134247    98058    65634    47839    43251    44545    50291    56294    62332    67806    72542    76058    47555      362
        0       53     6389    58300   130203   149142   132969    95482    63584    46751    41703    43738    49350    55278    61968    67448    72151    75132    47297      291
        0       56     6704    61708   136399   153332   132106    93900    61581    45578    41399    42955    48244    54652    61240    66218    71491    74918    46704      241
        0       67     7052    64319   141521   156081   129799    89934    59487    44438    40106    42427    46739    53494    60061    65956    70445    74253    46618      213
        0       63     7217    66326   146994   157435   127234    86499    57207    42994    39413    41101    46199    52193    58719    65028    70256    74005    45310      158
        0       70     7463    68048   149220   158682   123185    82734    55108    41768    38517    40456    44903    50941    57539    63757    68495    73548    44793      126
        0       57     7295    68917   151836   157389   118675    78115    52508    40443    37763    39578    43901    50008    56260    61849    68019    72286    43885       98
        0       62     7312    68306   151249   155749   113808    73554    49644    39021    37094    38609    43175    48714    55120    61100    67213    71909    43017       60
        0       34     6916    67308   150124   152441   107379    68443    47129    37969    35652    37962    41664    47146    53471    60048    65575    70529    41676       18
